seq,latitude,longitude,latitude_utm,longitude_utm,option
,37.28865516,127.1073042,332225.9166,4128573.777,0
,37.28864946,127.1073019,332225.7,4128573.149,0
,37.28864414,127.1073005,332225.5641,4128572.561,0
,37.28863882,127.1072995,332225.4636,4128571.973,0
,37.28863045,127.107299,332225.4007,4128571.045,0
,37.28862133,127.1072981,332225.3006,4128570.035,0
,37.28861563,127.1072967,332225.1639,4128569.405,0
,37.28860917,127.1072948,332224.9811,4128568.691,0
,37.28860391,127.1072947,332224.9605,4128568.108,0
,37.28860058,127.1072939,332224.8822,4128567.74,0
,37.28859585,127.1072937,332224.854,4128567.215,0
,37.28859148,127.1072928,332224.7645,4128566.732,0
,37.28858798,127.1072913,332224.6237,4128566.346,0
,37.28858536,127.1072906,332224.5558,4128566.057,0
,37.28858063,127.1072878,332224.2971,4128565.537,0
,37.28857537,127.1072852,332224.0549,4128564.958,0
,37.28857047,127.1072841,332223.9465,4128564.416,0
,37.28856679,127.1072818,332223.7345,4128564.012,0
,37.288564,127.1072803,332223.5953,4128563.705,0
,37.28856154,127.1072774,332223.3327,4128563.437,0
,37.28855979,127.1072742,332223.0452,4128563.249,0
,37.28855804,127.1072707,332222.731,4128563.061,0
,37.28855559,127.1072679,332222.4773,4128562.794,0
,37.2885535,127.1072651,332222.2245,4128562.567,0
,37.28855104,127.1072623,332221.9708,4128562.299,0
,37.28854894,127.1072593,332221.7001,4128562.071,0
,37.28854684,127.107256,332221.4029,4128561.844,0
,37.28854474,127.1072526,332221.0968,4128561.617,0
,37.28854316,127.1072485,332220.7299,4128561.449,0
,37.28854194,127.1072455,332220.4612,4128561.319,0
,37.28854037,127.1072422,332220.1652,4128561.151,0
,37.28853931,127.1072383,332219.8171,4128561.04,0
,37.28853826,127.1072338,332219.4158,4128560.932,0
,37.28853791,127.107229,332218.9895,4128560.901,8
,37.28854211,127.1072679,332222.4474,4128561.298,1
,37.28853791,127.1072876,332224.1845,4128560.797,1
,37.28853476,127.1073014,332225.4009,4128560.423,1
,37.28853196,127.107312,332226.3344,4128560.094,1
,37.28852864,127.1073248,332227.4617,4128559.703,1
,37.28852355,127.1073375,332228.5763,4128559.116,1
,37.2885191,127.1073512,332229.781,4128558.597,9
,37.28851992,127.107342,332228.9672,4128558.705,0
,37.28852172,127.1073317,332228.0581,4128558.923,0
,37.28852598,127.1073109,332226.2236,4128559.432,0
,37.2885298,127.1072954,332224.858,4128559.884,0
,37.28853676,127.1072796,332223.4727,4128560.684,0
,37.28854035,127.107276,332223.1615,4128561.089,0
,37.28854259,127.1072749,332223.069,4128561.339,0
,37.28854529,127.1072729,332222.8977,4128561.642,0
,37.28854798,127.1072718,332222.8062,4128561.943,0
,37.28855158,127.1072707,332222.7166,4128562.344,0
,37.28855763,127.1072693,332222.606,4128563.018,0
,37.28856414,127.1072696,332222.647,4128563.74,0
,37.2885693,127.1072707,332222.756,4128564.31,0
,37.28857581,127.1072716,332222.8502,4128565.031,0
,37.28858098,127.1072721,332222.9061,4128565.604,0
,37.28858569,127.1072729,332222.9874,4128566.125,0
,37.2885895,127.1072746,332223.1466,4128566.545,0
,37.28859377,127.1072768,332223.3511,4128567.015,0
,37.28859916,127.1072788,332223.5404,4128567.609,0
,37.28860387,127.1072799,332223.6484,4128568.13,0
,37.28860993,127.1072829,332223.9278,4128568.797,0
,37.28861554,127.1072862,332224.2328,4128569.413,0
,37.28862048,127.1072874,332224.3502,4128569.959,0
,37.28862631,127.1072887,332224.4784,4128570.604,0
,37.28863148,127.107291,332224.6938,4128571.173,0
,37.28863753,127.1072929,332224.8756,4128571.841,0
,37.28864427,127.1072948,332225.059,4128572.586,0
