llatitude,longitude,Z
37.288945300569715,13.107638699959072,68.90436278616231
37.288951700569704,13.107617799959085,67.74646969769768
37.288958500569706,13.107596399959059,72.29038663964751
37.28896450056972,13.107575299959079,73.09305003944702
37.28896980056971,13.107553399959063,73.0930355053634
37.288975700569715,13.107531599959072,72.94484069321054
37.288981900569716,13.107508999959071,71.33144095578793
37.288987700569706,13.107487699959071,73.09299167001204
37.28899390056972,13.107466099959074,71.47840148564363
37.28899970056972,13.107443799959068,73.88626920115227
37.289005600569716,13.107421799959054,71.3313823220993
37.28901140056972,13.107400799959047,73.38136318265539
37.28901780056972,13.107378899959057,71.47834272905757
37.289023400569725,13.107357599959055,73.60351227504206
37.28902940056972,13.107336299959053,72.29021156925361
37.289034900569725,13.10731429995904,73.74612531882966
37.289040500569705,13.107293099959035,71.1456488176572
37.28904680056973,13.10727099995905,72.13374076532034
37.28905270056973,13.107249099959036,72.44376021908826
37.289058700569726,13.107227599959039,72.29013930055251
37.289064700569725,13.10720579995902,68.71867668319582
37.28907030056973,13.107184299959048,74.26634162815188
37.289076000569736,13.107162799959026,72.94459413879311
37.289081500569736,13.107141699959042,73.71059458495634
37.28908730056972,13.107120399959042,72.63991383789387
37.28909330056973,13.107098399959028,72.63989915269623
37.289098900569726,13.107076599959036,73.74596639607651
37.289104300569726,13.107055599959029,73.2382167385578
37.28911040056973,13.107033699959013,72.94450883174335
37.289116000569734,13.107011599959028,74.53771503673362
37.28911800056973,13.106996799959015,85.44211172983024
37.289117600569725,13.106976099959025,95.71515192079558
37.28911540056971,13.106963799959008,106.87847247570164
37.289111000569726,13.106950799959007,117.06181027125666
37.289103700569726,13.106936799959024,127.43885555684211
37.289094200569735,13.106924199959016,138.01030922480683
37.2890853005697,13.106916199959008,149.1393470007701
37.28906960056973,13.106904799958997,152.12900512295585
37.289052600569725,13.10689469995901,158.09587352870972
37.28903560056971,13.106884899959018,157.30911958562484
37.28901860056972,13.106876499959018,161.99271328895762
37.28900110056972,13.106870199959001,167.07918269665953
37.2889862005697,13.106867599959005,177.1986244612835
37.2889818005697,13.106867499959009,-179.49301333168165
37.28896500056971,13.10686979995901,-169.4442288420138
37.288947100569715,13.106875099958998,-162.47030262876095
37.28893350056972,13.106882199959024,-151.6396138017317
37.2889266005697,13.106888299958996,-140.33924401481252
37.28892280056971,13.106893599959008,-128.83633926545954
37.28892070056972,13.106897799959022,-118.74061071212137
