seq,latitude,longitude,latitude_utm,longitude_utm,option,,
2082,37.2891097,127.1070507,332204.4496,4128624.661,0,,
2084,37.2891105,127.1070474,332204.1588,4128624.755,0,,
2086,37.2891114,127.1070442,332203.8771,4128624.861,0,,
2088,37.2891123,127.1070409,332203.5866,4128624.967,0,,
2090,37.289113,127.1070377,332203.3044,4128625.05,0,,
2092,37.2891136,127.1070344,332203.0132,4128625.122,0,,
2094,37.2891143,127.1070312,332202.7311,4128625.206,0,,
2096,37.2891149,127.1070279,332202.4399,4128625.278,0,,
2098,37.2891156,127.1070248,332202.1666,4128625.361,0,,
2100,37.2891162,127.1070215,332201.8754,4128625.434,0,,
2102,37.2891167,127.1070183,332201.5928,4128625.495,0,,
2104,37.2891173,127.1070149,332201.2927,4128625.568,0,,
2106,37.2891179,127.1070115,332200.9927,4128625.64,0,,
2108,37.2891183,127.1070082,332200.701,4128625.69,0,,
2110,37.2891185,127.107005,332200.4178,4128625.718,0,,
2112,37.2891186,127.1070019,332200.1432,4128625.735,0,,
2114,37.2891185,127.1069987,332199.8593,4128625.729,0,,
2116,37.2891183,127.1069955,332199.5751,4128625.713,0,,
2118,37.289118,127.1069923,332199.2908,4128625.685,0,,
2120,37.2891175,127.1069891,332199.006,4128625.636,0,,
2122,37.289117,127.1069858,332198.7123,4128625.586,0,,
2124,37.2891165,127.1069826,332198.4275,4128625.536,0,,
2126,37.2891159,127.1069793,332198.1337,4128625.475,0,,
2128,37.2891152,127.1069763,332197.8662,4128625.403,0,,
2130,37.2891145,127.1069732,332197.5898,4128625.331,0,,
2132,37.2891136,127.1069701,332197.313,4128625.237,0,,
2134,37.2891128,127.1069671,332197.0452,4128625.153,0,,
2136,37.2891121,127.106964,332196.7689,4128625.081,0,,
2138,37.2891113,127.1069608,332196.4834,4128624.998,0,,
2140,37.2891104,127.1069576,332196.1977,4128624.904,0,,
2142,37.2891094,127.1069545,332195.9207,4128624.798,0,,
2144,37.2891083,127.1069512,332195.6257,4128624.682,0,,
2146,37.2891071,127.106948,332195.3393,4128624.555,0,,
2148,37.2891057,127.106945,332195.0703,4128624.405,0,,
2150,37.2891043,127.106942,332194.8012,4128624.255,0,,
2152,37.2891027,127.1069389,332194.5228,4128624.083,0,,
2154,37.2891009,127.106936,332194.2617,4128623.888,0,,
2156,37.2890988,127.1069336,332194.0443,4128623.659,0,,
2158,37.2890965,127.1069314,332193.8442,4128623.408,0,,
2160,37.2890942,127.1069293,332193.6529,4128623.156,0,,
2162,37.2890918,127.1069274,332193.4791,4128622.894,0,,
2164,37.2890894,127.1069254,332193.2965,4128622.631,0,,
2166,37.289087,127.1069235,332193.1227,4128622.368,0,,
2168,37.2890847,127.1069216,332192.9492,4128622.116,0,,
2170,37.2890823,127.1069198,332192.7843,4128621.853,0,,
2172,37.2890799,127.1069179,332192.6105,4128621.59,0,,
2174,37.2890775,127.1069162,332192.4545,4128621.327,0,,
2176,37.289075,127.1069145,332192.2982,4128621.052,0,,
2178,37.2890727,127.1069128,332192.1424,4128620.8,0,,
2180,37.2890702,127.1069112,332191.995,4128620.526,0,,
2182,37.2890678,127.1069096,332191.8478,4128620.262,0,,
2184,37.2890653,127.1069079,332191.6916,4128619.988,0,,
2186,37.2890629,127.1069062,332191.5355,4128619.725,0,,
2188,37.2890604,127.1069046,332191.3881,4128619.45,0,,
2190,37.289058,127.106903,332191.2409,4128619.187,0,,
2192,37.2890554,127.1069015,332191.1022,4128618.901,0,,
2194,37.289053,127.1068999,332190.955,4128618.637,0,,
2196,37.2890505,127.1068984,332190.8165,4128618.363,0,,
2198,37.2890479,127.106897,332190.6866,4128618.077,0,,
2200,37.2890453,127.1068957,332190.5656,4128617.79,0,,
2202,37.2890427,127.1068943,332190.4357,4128617.504,0,,
2204,37.2890401,127.106893,332190.3147,4128617.218,0,,
2206,37.2890375,127.1068916,332190.1848,4128616.932,0,,
2208,37.2890349,127.1068903,332190.0637,4128616.646,0,,
2210,37.2890323,127.106889,332189.9427,4128616.36,0,,
2212,37.2890297,127.1068877,332189.8217,4128616.074,0,,
2214,37.2890271,127.1068863,332189.6918,4128615.788,0,,
2216,37.2890245,127.1068851,332189.5797,4128615.501,0,,
2218,37.2890219,127.1068838,332189.4586,4128615.215,0,,
2220,37.2890193,127.1068827,332189.3553,4128614.929,0,,
2222,37.2890166,127.1068816,332189.2518,4128614.631,0,,
2224,37.289014,127.1068805,332189.1485,4128614.345,0,,
2226,37.2890113,127.1068794,332189.045,4128614.047,0,,
2228,37.2890086,127.1068785,332188.9592,4128613.749,0,,
2230,37.2890058,127.1068777,332188.8821,4128613.44,0,,
2232,37.2890031,127.1068769,332188.8052,4128613.142,0,,
2234,37.2890004,127.1068764,332188.7548,4128612.843,0,,
2236,37.2889977,127.106876,332188.7134,4128612.544,0,,
2238,37.2889949,127.1068758,332188.6894,4128612.234,0,,
2240,37.2889921,127.1068757,332188.6743,4128611.923,0,,
2242,37.2889893,127.1068758,332188.677,4128611.612,0,,
2244,37.2889866,127.106876,332188.6887,4128611.312,0,,
2246,37.2889838,127.1068765,332188.7268,4128611.001,0,,
2248,37.2889811,127.106877,332188.7652,4128610.7,0,,
2250,37.2889784,127.1068777,332188.8212,4128610.399,0,,
2252,37.2889756,127.1068785,332188.8859,4128610.087,0,,
2254,37.2889729,127.1068793,332188.9508,4128609.786,0,,
2256,37.2889702,127.1068802,332189.0246,4128609.485,0,,
2258,37.2889674,127.1068811,332189.0982,4128609.173,0,,
2260,37.2889648,127.1068822,332189.1899,4128608.883,0,,
2262,37.2889622,127.1068834,332189.2905,4128608.592,0,,
2264,37.2889596,127.1068847,332189.4,4128608.301,0,,
2266,37.2889571,127.1068861,332189.5186,4128608.021,0,,
2268,37.2889545,127.1068875,332189.6369,4128607.73,0,,
2270,37.2889521,127.1068891,332189.7734,4128607.461,0,,
2272,37.2889497,127.1068907,332189.9099,4128607.192,0,,
2274,37.2889473,127.1068923,332190.0464,4128606.923,0,,
2276,37.2889449,127.106894,332190.1918,4128606.654,0,,
2278,37.2889426,127.1068959,332190.3551,4128606.395,0,,
2280,37.2889403,127.1068977,332190.5096,4128606.137,0,,
2282,37.2889381,127.1068998,332190.6909,4128605.889,0,,
2284,37.2889359,127.1069018,332190.8633,4128605.641,0,,
2286,37.2889337,127.1069039,332191.0446,4128605.393,0,,
2288,37.2889314,127.106906,332191.2256,4128605.134,0,,
2290,37.2889292,127.1069082,332191.4158,4128604.886,0,,
2292,37.2889271,127.1069106,332191.6239,4128604.649,0,,
2294,37.2889251,127.1069131,332191.841,4128604.423,0,,
2296,37.2889231,127.1069155,332192.0494,4128604.197,0,,
2298,37.2889211,127.1069181,332192.2754,4128603.97,0,,
2300,37.2889191,127.1069207,332192.5015,4128603.744,0,,
2302,37.2889172,127.1069232,332192.7189,4128603.528,0,,
2304,37.2889153,127.1069257,332192.9363,4128603.313,0,,
2306,37.2889132,127.1069282,332193.1532,4128603.076,0,,
2308,37.2889113,127.1069306,332193.3618,4128602.861,0,,
2310,37.2889092,127.106933,332193.5699,4128602.623,0,,
2312,37.2889071,127.1069353,332193.7691,4128602.386,0,,
2314,37.2889051,127.1069376,332193.9686,4128602.16,0,,
2316,37.288903,127.10694,332194.1767,4128601.923,0,,
2318,37.2889011,127.1069425,332194.3941,4128601.708,0,,
2320,37.2888995,127.1069451,332194.621,4128601.526,0,,
2322,37.2888982,127.1069482,332194.8929,4128601.376,0,,
2324,37.2888974,127.1069512,332195.1571,4128601.282,0,,
2326,37.2888966,127.1069544,332195.439,4128601.187,0,,
2328,37.288896,127.1069576,332195.7214,4128601.115,0,,
2330,37.2888956,127.106961,332196.0219,4128601.065,0,,
2332,37.2888954,127.1069643,332196.314,4128601.037,0,,
2334,37.2888952,127.1069677,332196.615,4128601.008,0,,
2336,37.2888949,127.1069711,332196.9157,4128600.969,0,,
2338,37.2888946,127.1069745,332197.2165,4128600.93,0,,
2340,37.2888944,127.106978,332197.5263,4128600.901,0,,
2342,37.2888941,127.1069816,332197.8448,4128600.862,0,,
2344,37.288894,127.1069852,332198.1637,4128600.844,0,,
2346,37.288894,127.1069888,332198.4828,4128600.838,0,,
2348,37.2888942,127.1069923,332198.7936,4128600.854,0,,
2350,37.2888945,127.1069958,332199.1045,4128600.881,0,,
2352,37.2888949,127.1069993,332199.4157,4128600.919,0,,
2354,37.2888955,127.1070027,332199.7184,4128600.979,0,,
2356,37.2888963,127.107006,332200.0128,4128601.062,0,,
2358,37.2888971,127.1070092,332200.2982,4128601.145,0,,
2360,37.2888982,127.1070124,332200.5843,4128601.262,0,,
2362,37.2888993,127.1070156,332200.8705,4128601.378,0,,
2364,37.2889009,127.1070185,332201.1311,4128601.551,0,,
2366,37.2889025,127.1070213,332201.3829,4128601.723,0,,
2368,37.2889043,127.1070238,332201.6085,4128601.918,0,,
2370,37.2889063,127.1070261,332201.8169,4128602.136,0,,
2372,37.2889084,127.1070284,332202.0254,4128602.365,0,,
2374,37.2889108,127.1070303,332202.1992,4128602.628,0,,
2376,37.288913,127.1070322,332202.3725,4128602.869,0,,
2378,37.2889154,127.1070339,332202.5286,4128603.132,0,,
2380,37.2889178,127.1070356,332202.6846,4128603.395,0,,
2382,37.2889202,127.1070371,332202.8229,4128603.659,0,,
2384,37.2889226,127.1070389,332202.9878,4128603.922,0,,
2386,37.288925,127.1070407,332203.1527,4128604.185,0,,
2388,37.2889274,127.1070423,332203.2999,4128604.449,0,,
2390,37.2889298,127.1070441,332203.4648,4128604.712,0,,
2392,37.2889322,127.1070459,332203.6297,4128604.975,0,,
2394,37.2889346,127.1070475,332203.7769,4128605.238,0,,
2396,37.2889371,127.1070493,332203.942,4128605.512,0,,
2398,37.2889396,127.1070511,332204.1071,4128605.787,0,,
2400,37.288942,127.1070529,332204.272,4128606.05,0,,
2403,37.2889436,127.1070555,332204.5061,4128606.223,0,,
2405,37.2889461,127.1070574,332204.6801,4128606.497,0,,
2407,37.2889485,127.1070592,332204.845,4128606.76,0,,
2409,37.2889509,127.1070611,332205.0187,4128607.023,0,,
2411,37.2889533,127.1070631,332205.2014,4128607.285,0,,
2413,37.2889555,127.1070651,332205.3836,4128607.526,0,,
2415,37.2889578,127.1070672,332205.5748,4128607.777,0,,
2417,37.2889601,127.1070693,332205.7661,4128608.029,0,,
2419,37.2889622,127.1070716,332205.9747,4128608.258,0,,
2421,37.2889643,127.1070741,332206.201,4128608.486,0,,
2423,37.2889662,127.1070765,332206.418,4128608.693,0,,
2425,37.2889681,127.1070792,332206.6615,4128608.899,0,,
2427,37.2889698,127.1070819,332206.9047,4128609.083,0,,
2429,37.2889713,127.1070848,332207.1651,4128609.244,0,,
2431,37.2889729,127.1070878,332207.4346,4128609.416,0,,
2433,37.2889745,127.1070908,332207.7041,4128609.588,0,,
2435,37.2889758,127.107094,332207.9907,4128609.727,0,,
2437,37.288977,127.1070971,332208.2682,4128609.855,0,,
2439,37.2889779,127.1071005,332208.5716,4128609.949,0,,
2441,37.2889786,127.1071038,332208.8657,4128610.02,0,,
2443,37.288979,127.1071072,332209.168,4128610.059,0,,
2445,37.2889792,127.1071106,332209.4699,4128610.075,0,,
2447,37.2889793,127.107114,332209.7715,4128610.08,0,,
2449,37.2889792,127.1071173,332210.0638,4128610.063,0,,
2451,37.288979,127.1071208,332210.3736,4128610.035,0,,
2453,37.2889788,127.1071242,332210.6746,4128610.006,0,,
2455,37.2889785,127.1071275,332210.9665,4128609.967,0,,
2457,37.2889783,127.1071309,332211.2675,4128609.939,0,,
2459,37.288978,127.1071344,332211.5771,4128609.899,0,,
2461,37.2889777,127.1071378,332211.8778,4128609.86,0,,
2463,37.2889775,127.1071412,332212.1788,4128609.832,0,,
2465,37.2889772,127.1071446,332212.4795,4128609.793,0,,
2467,37.2889768,127.1071482,332212.7978,4128609.742,0,,
2469,37.2889764,127.1071517,332213.1072,4128609.691,0,,
2471,37.288976,127.1071551,332213.4077,4128609.641,0,,
2473,37.2889755,127.1071585,332213.708,4128609.579,0,,
2475,37.2889751,127.107162,332214.0174,4128609.529,0,,
2477,37.2889746,127.1071654,332214.3177,4128609.467,0,,
2479,37.2889741,127.1071688,332214.618,4128609.406,0,,
2481,37.2889735,127.1071722,332214.9181,4128609.333,0,,
2483,37.2889728,127.1071756,332215.218,4128609.249,0,,
2485,37.2889722,127.1071788,332215.5003,4128609.177,0,,
2487,37.2889715,127.1071821,332215.7913,4128609.094,0,,
2489,37.2889706,127.1071853,332216.073,4128608.988,0,,
2491,37.2889696,127.1071885,332216.3545,4128608.871,0,,
2493,37.2889685,127.1071916,332216.6268,4128608.744,0,,
2495,37.2889675,127.107195,332216.926,4128608.627,0,,
2497,37.2889665,127.1071983,332217.2163,4128608.51,0,,
2499,37.2889653,127.1072015,332217.4974,4128608.371,0,,
2501,37.2889643,127.1072048,332217.7877,4128608.254,0,,
2503,37.2889631,127.1072081,332218.0776,4128608.115,0,,
2505,37.2889619,127.1072114,332218.3675,4128607.976,0,,
2507,37.2889607,127.1072146,332218.6485,4128607.838,0,,
2509,37.2889595,127.1072178,332218.9295,4128607.699,0,,
2511,37.2889582,127.1072209,332219.2014,4128607.549,0,,
2513,37.288957,127.1072241,332219.4824,4128607.41,0,,
2515,37.2889557,127.1072271,332219.7455,4128607.261,0,,
2517,37.2889543,127.1072302,332220.0172,4128607.1,0,,
2519,37.2889529,127.1072333,332220.2889,4128606.939,0,,
2521,37.2889515,127.1072362,332220.5429,4128606.778,0,,
2523,37.28895,127.1072391,332220.7967,4128606.607,0,,
2525,37.2889485,127.1072421,332221.0593,4128606.435,0,,
2527,37.2889468,127.1072449,332221.3037,4128606.242,0,,
2529,37.2889452,127.1072477,332221.5484,4128606.059,0,,
2531,37.2889434,127.1072504,332221.7838,4128605.855,0,,
2533,37.2889415,127.1072529,332222.0012,4128605.639,0,,
2535,37.2889396,127.1072553,332222.2097,4128605.424,0,,
2537,37.2889375,127.1072576,332222.4089,4128605.187,0,,
2539,37.2889354,127.1072598,332222.5993,4128604.95,0,,
2541,37.2889331,127.1072618,332222.7715,4128604.691,0,,
2543,37.2889309,127.1072636,332222.9262,4128604.444,0,,
2545,37.2889285,127.1072654,332223.0804,4128604.175,0,,
2547,37.2889262,127.1072669,332223.2083,4128603.917,0,,
2549,37.2889236,127.1072683,332223.3266,4128603.626,0,,
2551,37.2889209,127.1072697,332223.4447,4128603.324,0,,
2553,37.2889184,127.107271,332223.5544,4128603.044,0,,
2555,37.2889157,127.1072721,332223.646,4128602.743,0,,
2557,37.288913,127.1072733,332223.7463,4128602.441,0,,
2559,37.2889103,127.1072743,332223.829,4128602.139,0,,
2561,37.2889076,127.1072753,332223.9117,4128601.838,0,,
2563,37.2889049,127.1072763,332223.9943,4128601.537,0,,
2565,37.2889021,127.107277,332224.0501,4128601.225,0,,
2567,37.2888993,127.1072775,332224.0882,4128600.913,0,,
2569,37.2888965,127.1072779,332224.1175,4128600.602,0,,
2571,37.2888937,127.1072781,332224.129,4128600.291,0,,
2573,37.2888909,127.1072781,332224.1228,4128599.98,0,,
2575,37.2888881,127.107278,332224.1077,4128599.67,0,,
2577,37.2888853,127.1072777,332224.0749,4128599.36,0,,
2579,37.2888826,127.1072772,332224.0246,4128599.061,0,,
2581,37.2888799,127.1072765,332223.9565,4128598.763,0,,
2583,37.2888773,127.1072755,332223.8621,4128598.476,0,,
2585,37.2888749,127.1072742,332223.7415,4128598.212,0,,
2587,37.2888724,127.1072727,332223.603,4128597.937,0,,
2589,37.2888699,127.1072709,332223.4378,4128597.663,0,,
2591,37.2888676,127.107269,332223.2643,4128597.411,0,,
2593,37.2888653,127.107267,332223.0819,4128597.159,0,,
2595,37.2888628,127.1072652,332222.9168,4128596.885,0,,
2597,37.2888604,127.1072633,332222.743,4128596.622,0,,
2599,37.2888581,127.1072614,332222.5694,4128596.371,0,,
2601,37.2888558,127.1072594,332222.387,4128596.119,0,03_end,
2603,37.2888534,127.1072577,332222.231,4128595.856,0,04_start,
2605,37.2888509,127.1072563,332222.1013,4128595.581,0,,
2607,37.2888484,127.1072549,332221.9717,4128595.306,0,,
2609,37.2888458,127.1072537,332221.8595,4128595.019,0,,
2611,37.2888432,127.1072524,332221.7385,4128594.733,0,,
2613,37.2888407,127.1072512,332221.6265,4128594.458,0,,
2615,37.2888381,127.1072499,332221.5055,4128594.172,0,,
2617,37.2888356,127.1072486,332221.3847,4128593.897,0,,
2619,37.2888329,127.1072473,332221.2635,4128593.599,0,,
2621,37.2888303,127.1072461,332221.1513,4128593.313,0,,
