latitude,longitude
35.91425903,128.8029529
35.91425843,128.8029549
35.91425784,128.802957
35.91425724,128.802959
35.91425665,128.8029611
35.91425605,128.8029631
35.91425546,128.8029651
35.91425486,128.8029672
35.91425426,128.8029692
35.91425367,128.8029713
35.91425307,128.8029733
35.91425248,128.8029754
35.91425188,128.8029774
35.91425128,128.8029794
35.91425069,128.8029815
35.91425009,128.8029835
35.91427786,128.8030059
35.9142763,128.803005
35.91427473,128.8030042
35.91427317,128.8030033
35.9142716,128.8030025
35.91427004,128.8030016
35.91426847,128.8030008
35.91426691,128.8029999
35.91426534,128.8029991
35.91426378,128.8029982
35.91426221,128.8029974
35.91426065,128.8029965
35.91425908,128.8029956
35.91425752,128.8029948
35.91425595,128.8029939
35.91425439,128.8029931
35.91425282,128.8029922
35.91425126,128.8029914
35.91424983,128.8029856
35.91424983,128.802987
35.9142501,128.8029883
35.9142505,128.8029897
35.9142509,128.8029905
35.91427835,128.8030088
35.91427767,128.8030109
35.914277,128.8030129
35.91427632,128.803015
35.91427564,128.8030171
35.91427497,128.8030192
35.91427429,128.8030213
35.91427361,128.8030233
35.91427294,128.8030254
35.91427226,128.8030275
35.91427159,128.8030296
35.91427091,128.8030316
35.91427023,128.8030337
35.91426956,128.8030358
35.91426888,128.8030379
35.91426821,128.80304
35.91426753,128.803042
35.91426685,128.8030441
35.91426618,128.8030462
35.9142655,128.8030483
35.91426482,128.8030503
35.91426415,128.8030524
35.91426347,128.8030545
35.9142628,128.8030566
35.91426212,128.8030587
35.91426144,128.8030607
35.91426077,128.8030628
35.91426009,128.8030649
35.91425942,128.803067
35.91425874,128.803069
35.91425806,128.8030711
35.91425739,128.8030732
35.91425671,128.8030753
35.91425603,128.8030773
35.91425536,128.8030794
35.91425468,128.8030815
35.91425401,128.8030836
35.91425333,128.8030857
35.91425265,128.8030877
35.91425198,128.8030898
35.9142513,128.8030919
35.91425063,128.803094
35.91424995,128.803096
35.91424927,128.8030981
35.9142486,128.8031002
35.91424792,128.8031023
35.91424724,128.8031044
35.91424657,128.8031064
35.91424589,128.8031085
35.91424522,128.8031106
35.91424454,128.8031127
35.91424359,128.8031172
35.91424295,128.8031193
35.9142423,128.8031214
35.91424166,128.8031235
35.91424101,128.8031256
35.91424037,128.8031277
35.91423972,128.8031298
35.91423908,128.8031319
35.91423843,128.803134
35.91423779,128.8031361
35.91423714,128.8031382
35.9142365,128.8031402
35.91423585,128.8031423
35.91423521,128.8031444
35.91423456,128.8031465
35.91423392,128.8031486
35.91423327,128.8031507
35.91423263,128.8031528
35.91422768,128.8031541
35.91422615,128.8031531
35.91422461,128.8031522
35.91422308,128.8031512
35.91422154,128.8031502
35.91422001,128.8031493
35.91421847,128.8031483
35.91421694,128.8031473
35.91421541,128.8031464
35.91421387,128.8031454
35.91421234,128.8031444
35.9142108,128.8031435
35.91420927,128.8031425
35.91420773,128.8031416
35.9142062,128.8031406
35.91420466,128.8031396
35.91422869,128.8031549
35.91423001,128.8031557
35.91423159,128.8031562
35.91423238,128.8031544
35.91420241,128.8031413
35.914201,128.8031443
35.91420053,128.8031458
35.91419935,128.803149
35.91419653,128.8031487
35.91419488,128.8031478
35.91419277,128.8031466
35.91419042,128.8031463
35.91421416,128.802936
35.91421354,128.8029381
35.91421292,128.8029402
35.9142123,128.8029423
35.91421168,128.8029443
35.91421106,128.8029464
35.91421044,128.8029485
35.91420982,128.8029506
35.9142092,128.8029526
35.91420858,128.8029547
35.91420796,128.8029568
35.91420734,128.8029589
35.91420672,128.8029609
35.9142061,128.802963
35.91420548,128.8029651
35.91420485,128.8029672
35.91420423,128.8029693
35.91420361,128.8029713
35.91420299,128.8029734
35.91420237,128.8029755
35.91420175,128.8029776
35.91420113,128.8029796
35.91420051,128.8029817
35.91419989,128.8029838
35.91419927,128.8029859
35.91419865,128.8029879
35.91419803,128.80299
35.91419741,128.8029921
35.91419679,128.8029942
35.91419617,128.8029962
35.91419555,128.8029983
35.91419493,128.8030004
35.91419431,128.8030025
35.91419369,128.8030046
35.91419307,128.8030066
35.91419244,128.8030087
35.91419182,128.8030108
35.9141912,128.8030129
35.91419058,128.8030149
35.91418996,128.803017
35.91418934,128.8030191
35.91418872,128.8030212
35.9141881,128.8030232
35.91418748,128.8030253
35.91418651,128.8030283
35.91418581,128.8030318
35.91418855,128.803145
35.91418689,128.8031442
35.91418523,128.8031433
35.91418358,128.8031425
35.91418192,128.8031416
35.91418026,128.8031408
35.9141786,128.80314
35.91417694,128.8031391
35.91417528,128.8031383
35.91417362,128.8031375
35.91417196,128.8031366
35.91417031,128.8031358
35.91416865,128.8031349
35.91416699,128.8031341
35.91416533,128.8031333
35.91416367,128.8031324
35.91416201,128.8031316
35.91416035,128.8031308
35.91415869,128.8031299
35.91415704,128.8031291
35.91415538,128.8031282
35.91415372,128.8031274
35.91415206,128.8031266
35.9141504,128.8031257
35.91414874,128.8031249
35.91414708,128.803124
35.91414542,128.8031232
35.91414377,128.8031224
35.91418483,128.8030338
35.91418399,128.8030349
35.91418399,128.8030359
35.91418331,128.8030376
35.91418281,128.8030387
35.91418214,128.8030414
35.9141813,128.8030435
35.91418079,128.8030448
35.91417995,128.8030467
35.91417945,128.8030475
35.91417877,128.8030494
35.91417827,128.8030509
35.91417776,128.8030528
35.91417743,128.8030547
35.91417676,128.8030554
35.91417575,128.8030568
35.91417507,128.8030585
35.91417406,128.80306
35.91417339,128.8030613
35.91417272,128.8030621
35.91417188,128.8030636
35.91417104,128.8030653
35.91416935,128.8030664
35.91416801,128.8030678
35.91416683,128.8030689
35.91416549,128.8030697
35.91416431,128.8030704
35.91416246,128.8030716
35.91416145,128.8030723
35.91415994,128.8030733
35.91415909,128.8030742
35.91415775,128.803075
35.91415691,128.8030757
35.91415523,128.8030763
35.91415338,128.8030769
35.9141522,128.8030773
35.91415052,128.8030776
35.91414968,128.8030776
35.91414833,128.803078
35.91414682,128.803078
35.9141453,128.8030778
35.91414412,128.8030773
35.91414295,128.8030769
35.91422883,128.8028836
35.91422828,128.8028856
35.91422773,128.8028877
35.91422718,128.8028898
35.91422663,128.8028919
35.91422608,128.8028939
35.91422553,128.802896
35.91422499,128.8028981
35.91422444,128.8029002
35.91422389,128.8029022
35.91422334,128.8029043
35.91422279,128.8029064
35.91422224,128.8029084
35.91422169,128.8029105
35.91422114,128.8029126
35.91422059,128.8029147
35.91422004,128.8029167
35.91421949,128.8029188
35.91421894,128.8029209
35.91421839,128.802923
35.91421784,128.802925
35.91421729,128.8029271
35.91421674,128.8029292
35.91421619,128.8029312
35.91421564,128.8029333
35.91427264,128.8029124
35.91427198,128.8029145
35.91427131,128.8029165
35.91427064,128.8029186
35.91426998,128.8029207
35.91426931,128.8029227
35.91426864,128.8029248
35.91426798,128.8029269
35.91426731,128.8029289
35.91426664,128.802931
35.91426598,128.8029331
35.91426531,128.8029351
35.91426464,128.8029372
35.91426398,128.8029393
35.91426331,128.8029413
35.91426264,128.8029434
35.91426198,128.8029455
35.91426131,128.8029475
35.91426064,128.8029496
35.91425736,128.8028976
35.91425893,128.8028985
35.91426051,128.8028995
35.91426209,128.8029004
35.91426367,128.8029013
35.91426525,128.8029022
35.91426683,128.8029032
35.91426841,128.8029041
